Empresa,comuna_busqueda,categoryName,address,phone,website,totalScore,reviewsCount,lat,lng,url
Laboratorio Pharma Isa Ltda.,Quilicura,Laboratorio farmacéutico,"Av. Colo Colo 261, Quilicura, Región Metropolitana, Chile",+56 2 2495 7799,http://www.pharmaisa.cl/,3.7,11,-33.370551,-70.7502252,https://www.google.com/maps/search/?api=1&query=Laboratorio%20Pharma%20Isa%20Ltda.&query_place_id=ChIJVa8XstXGYpYRX3wEtMeFMFM
Farmacéutica ByB,Quilicura,Bodega,"Quilicura, Región Metropolitana, Chile",,,5,5,-33.3740175,-70.7481041,https://www.google.com/maps/search/?api=1&query=Farmac%C3%A9utica%20ByB&query_place_id=ChIJzSmO6fTBYpYRlI41NmnTvhk
Instituto Sanitas S.A.,Quilicura,Compañía farmacéutica,"Av. Américo Vespucio 01260, Quilicura, Pudahuel, Región Metropolitana, Chile",+56 2 2444 6600,,4.5,63,-33.3832886,-70.75702,https://www.google.com/maps/search/?api=1&query=Instituto%20Sanitas%20S.A.&query_place_id=ChIJn9fCegTBYpYR1vkEmqj6tCE
Drag Pharma,Quilicura,Laboratorio farmacéutico,"Lautaro 300, Quilicura, Región Metropolitana, Chile",+56 9 5626 7362,http://www.dragpharma.cl/,4,10,-33.3415124,-70.7016751,https://www.google.com/maps/search/?api=1&query=Drag%20Pharma&query_place_id=ChIJ1bS9iEbHYpYRsgFbpkFtaPA
Laboratorio Petrizzio Sa,Quilicura,Proveedor de productos de belleza,"Av. Américo Vespucio 1800, 8700212 Quilicura, Región Metropolitana, Chile",+56 2 2369 0800,https://petrizzio.cl/,3.1,27,-33.3722063,-70.7106277,https://www.google.com/maps/search/?api=1&query=Laboratorio%20Petrizzio%20Sa&query_place_id=ChIJpX58hNbGYpYRr93nu4E8Obo
Novofarma Service S.A.,Quilicura,Servicio de logística,"Víctor Uribe 2280, 8710022 Quilicura, Región Metropolitana, Chile",+56 2 2620 9900,,4.4,204,-33.3556226,-70.6939159,https://www.google.com/maps/search/?api=1&query=Novofarma%20Service%20S.A.&query_place_id=ChIJF1TLTD3HYpYROjFYUyHikeE
Eurofarma Chile,Quilicura,Compañía farmacéutica,"Caupolicán 9291, Quilicura, Región Metropolitana, Chile",+56 2 2483 1600,http://www.eurofarma.cl/,4.3,43,-33.3383157,-70.6949306,https://www.google.com/maps/search/?api=1&query=Eurofarma%20Chile&query_place_id=ChIJC1ZdeFTbYpYRMibhNE0l7Iw
Droguería Pharma Brothers,Quilicura,Compañía farmacéutica,"Av. Colo Colo 521, 8732734 Quilicura, Región Metropolitana, Chile",+56 2 2371 8631,,,,-33.3691046,-70.7575592,https://www.google.com/maps/search/?api=1&query=Droguer%C3%ADa%20Pharma%20Brothers&query_place_id=ChIJXbbGH07BYpYRmxYqcT2LTrU
Farmacia San Andrés,Conchalí,Compañía farmacéutica,"Manizales 1898, Conchalí, Región Metropolitana, Chile",+56 2 2624 4458,,4.3,8,-33.3755534,-70.6849028,https://www.google.com/maps/search/?api=1&query=Farmacia%20San%20Andr%C3%A9s&query_place_id=ChIJEwiqheXGYpYRenPsLhlwETE
Productos Químicos Chile,Conchalí,Empresa de suministros industriales,"Las Industrias 2610, B01, 8550679 Conchalí, Región Metropolitana, Chile",+56 2 2635 2641,https://productosquimicos.cl/,4.3,81,-33.3844641,-70.688622,https://www.google.com/maps/search/?api=1&query=Productos%20Qu%C3%ADmicos%20Chile&query_place_id=ChIJsYYCxX7FYpYR2KqJ9Ks5GTI
comercial ethos,Conchalí,Comercio,"Las Vertientes 1117, 8561645 Santiago, Conchalí, Región Metropolitana, Chile",+56 2 2207 9556,http://www.ethoschile.cl/,5,2,-33.3792279,-70.6584355,https://www.google.com/maps/search/?api=1&query=comercial%20ethos&query_place_id=ChIJb6XP2iHPYpYRwW2OcNgKRuI
Quimica Industrial Chile,Conchalí,,"Las Industrias 2610, C3, 8550679 Conchalí, Región Metropolitana, Chile",+56 9 4556 9364,https://quimicaindustrial.cl/,4.1,7,-33.3845205,-70.6885996,https://www.google.com/maps/search/?api=1&query=Quimica%20Industrial%20Chile&query_place_id=ChIJWz1sXBvdYpYRqLmnNA8ZTbs
Farmacias Nueva Real,Conchalí,Farmacia,"Baron de Juras Reales 4011, Conchalí, Región Metropolitana, Chile",+56 2 2734 2251,,4.8,21,-33.3935858,-70.6823088,https://www.google.com/maps/search/?api=1&query=Farmacias%20Nueva%20Real&query_place_id=ChIJsfgsxpHGYpYRykTIob_ogrg
Milab,Independencia,Laboratorio,"Nueva Andrés Bello 1940, 8380000 Independencia, Región Metropolitana, Chile",+56 2 2562 4400,http://www.milab.cl/,2.8,30,-33.4170801,-70.6665303,https://www.google.com/maps/search/?api=1&query=Milab&query_place_id=ChIJuTF_ds3FYpYRnxOmwXZ21s8
Medical International Laboratories Corporation S.A.,Independencia,Laboratorio,"Nueva Andrés Bello 1960, 8390539 Quinta Normal, Independencia, Región Metropolitana, Chile",+56 2 2732 8055,,3,5,-33.4171194,-70.667462,https://www.google.com/maps/search/?api=1&query=Medical%20International%20Laboratories%20Corporation%20S.A.&query_place_id=ChIJ0Y7daM3FYpYRszOP_naw_VM
Nueva andres bello 1940,Independencia,Laboratorio químico,"Av. Fermín Vivaceta 1903, 8390541 Independencia, Región Metropolitana, Chile",,,5,1,-33.4168677,-70.6664768,https://www.google.com/maps/search/?api=1&query=Nueva%20andres%20bello%201940&query_place_id=ChIJ6dSpr9PFYpYRLun3kF1RYoI
Abbott Laboratories de Chile,Huechuraba,Compañía farmacéutica,"Av. El Salto 5380, Huechuraba, Región Metropolitana, Chile",+56 2 2750 6000,http://www.abbott.com/,3.1,26,-33.3832833,-70.6222798,https://www.google.com/maps/search/?api=1&query=Abbott%20Laboratories%20de%20Chile&query_place_id=ChIJq_gJfR3GYpYRf9mNCVImL74
Vital and Young S.p.A.,Huechuraba,Compañía farmacéutica,"Av. Sta. Clara 301, Of. 4806, 8581150 Santiago, Huechuraba, Región Metropolitana, Chile",+56 2 2752 1630,https://vay.cl/,4.8,4,-33.3883875,-70.6191122,https://www.google.com/maps/search/?api=1&query=Vital%20and%20Young%20S.p.A.&query_place_id=ChIJVYaxXqjIYpYRuXDrp_5pTYU
Medinova Limitada,Huechuraba,Compañía farmacéutica,"Avenida del Parque 5339, Cuidad Empresarial, Huechuraba, Santiago, Región Metropolitana, Chile",+56 2 3224 7873,,,,-33.3865171,-70.614485,https://www.google.com/maps/search/?api=1&query=Medinova%20Limitada&query_place_id=ChIJb_JTgcrJYpYRhrmUAXm1WfM
Laboratorio Condecal,Huechuraba,Laboratorio farmacéutico,"Alberto Riesco 245, 8580643 Huechuraba, Región Metropolitana, Chile",+56 9 9837 4254,http://condecal.cl/,,,-33.3923629,-70.6217325,https://www.google.com/maps/search/?api=1&query=Laboratorio%20Condecal&query_place_id=ChIJf2iadQDHYpYRDHW_MhYfE58
Indfar,Huechuraba,Laboratorio farmacéutico,"Av. del Valle Nte. 961, Of. 4702, 8580710 Huechuraba, Región Metropolitana, Chile",+56 9 9321 7449,https://indfar.com/,5,4,-33.388302,-70.618473,https://www.google.com/maps/search/?api=1&query=Indfar&query_place_id=ChIJE5089KjIYpYR-L52EdOZJ70
Laboratorio Vendome Limitada.-,Huechuraba,Farmacia,"El Conquistador del Monte 4775, Santiago, Huechuraba, Región Metropolitana, Chile",,,3,4,-33.3729419,-70.6519724,https://www.google.com/maps/search/?api=1&query=Laboratorio%20Vendome%20Limitada.-&query_place_id=ChIJ6erU00XGYpYRiZDfdt7yzFM
Meki - Farmacia a domicilio,Huechuraba,Farmacia,"Av. El Salto 4001, Loc 8, 8580641 Huechuraba, Región Metropolitana, Chile",,https://farmaciameki.cl/,4.5,100,-33.3925354,-70.6239333,https://www.google.com/maps/search/?api=1&query=Meki%20-%20Farmacia%20a%20domicilio&query_place_id=ChIJDTazA83HYpYRrrCU5FuaNVM
CROMTEK,Huechuraba,Proveedor de equipos de laboratorio,"Del Valle 576, Ofi 703, Santiago, Huechuraba, Región Metropolitana, Chile",+56 2 2733 3484,http://www.cromtek.cl/,3.7,3,-33.3942918,-70.6169001,https://www.google.com/maps/search/?api=1&query=CROMTEK&query_place_id=ChIJM4fWm6vIYpYRMJHrX5DvrFs
GSK Chile,Recoleta,Compañía farmacéutica,"8431633 Recoleta, Región Metropolitana, Chile",+56 2 2382 9000,https://www.gsk.com/en-gb/locations/chile/,3,2,-33.4237181,-70.6453163,https://www.google.com/maps/search/?api=1&query=GSK%20Chile&query_place_id=ChIJIeAv_L_FYpYRpdWbVUoVfFc
Laboratorio Nextfarma Limitada,Recoleta,Laboratorio,"Av. Recoleta 3581, Santiago, Recoleta, Región Metropolitana, Chile",,,4,2,-33.3931003,-70.6425757,https://www.google.com/maps/search/?api=1&query=Laboratorio%20Nextfarma%20Limitada&query_place_id=ChIJ-XOUAA3GYpYRvKo_E8USgvU
MLE Laboratorios,Recoleta,Laboratorio,"Av. México 715, 8431598 Recoleta, Región Metropolitana, Chile",+56 2 2238 6000,http://www.mlelab.cl/,4.1,13,-33.4073625,-70.6472608,https://www.google.com/maps/search/?api=1&query=MLE%20Laboratorios&query_place_id=ChIJm2IHj_nPYpYRWZVSyvLUGV8
Farmacia Popular Ricardo Silva Soto,Recoleta,Farmacia,"Av. Recoleta 2774, 8431486 Recoleta, Región Metropolitana, Chile",+56 2 2945 7508,,4,40,-33.4015288,-70.643772,https://www.google.com/maps/search/?api=1&query=Farmacia%20Popular%20Ricardo%20Silva%20Soto&query_place_id=ChIJu-2wIODFYpYR7_tJodDz0-Y
Farmacias BAC,Cerro Navia,Compañía farmacéutica,"San Juan Valdés 1402, 9030021 Pudahuel, Región Metropolitana, Chile",+56 9 5193 1915,,,,-33.4263357,-70.7670735,https://www.google.com/maps/search/?api=1&query=Farmacias%20BAC&query_place_id=ChIJr3sc9TbDYpYRGcohQHO3j5E
Farmacias Barroso,Cerro Navia,Farmacia,"Salvador Gutiérrez 6097, 8320000 Quinta Normal, Región Metropolitana, Chile",,,4.6,14,-33.4216575,-70.7178248,https://www.google.com/maps/search/?api=1&query=Farmacias%20Barroso&query_place_id=ChIJU4ZAYvjDYpYRqTxKP7pgjUY
WINPHARM,Pudahuel,Bodega,"Río Elqui 9579, 9031282 Pudahuel, Región Metropolitana, Chile",+56 2 2382 4450,http://www.winpharm.cl/,5,1,-33.4430625,-70.7758952,https://www.google.com/maps/search/?api=1&query=WINPHARM&query_place_id=ChIJWxF4PNvDYpYRKRuzo-VObzg
Analisis Fisico Quimicos Y Microbiologicos M. Moll,Pudahuel,Laboratorio,"Blvd. Aeropuerto Sur 9646, 9030988 Pudahuel, Región Metropolitana, Chile",+56 2 2380 7555,http://www.analisismmoll.cl/,4.7,12,-33.4291691,-70.7770138,https://www.google.com/maps/search/?api=1&query=Analisis%20Fisico%20Quimicos%20Y%20Microbiologicos%20M.%20Moll&query_place_id=ChIJS2vASf_PYpYRily16igaOoQ
Laboratorio Internacional Pharmacorp Sbo S.A,Pudahuel,Fabricante de alimentos,"Volcán Lascar Pte. 784, Pudahuel, Región Metropolitana, Chile",+56 2 2719 9900,http://www.pharmacorp.cl/,3.4,27,-33.3818372,-70.7759056,https://www.google.com/maps/search/?api=1&query=Laboratorio%20Internacional%20Pharmacorp%20Sbo%20S.A&query_place_id=ChIJk7Vnf63BYpYRJRxY3XA3xhg
DLI Farmacias Ahumada,Pudahuel,Bodega,"Los Vientos 19865, Pudahuel, Región Metropolitana, Chile",,,4.2,110,-33.4465086,-70.847458,https://www.google.com/maps/search/?api=1&query=DLI%20Farmacias%20Ahumada&query_place_id=ChIJjRpfZ5DpYpYRSRm4pV5PkFk
Merck,Pudahuel,Compañía farmacéutica,"Río Palena 9669, Pudahuel, Cerro Navia, Región Metropolitana, Chile",,,5,2,-33.421048,-70.7799643,https://www.google.com/maps/search/?api=1&query=Merck&query_place_id=ChIJa4iRqInBYpYRYBrgZs1vh-4
Medipharm Ltda.,Pudahuel,Fábrica,"Av. Miraflores 9827, Pudahuel, Región Metropolitana, Chile",+56 2 2601 2055,,3.1,7,-33.3876804,-70.7791369,https://www.google.com/maps/search/?api=1&query=Medipharm%20Ltda.&query_place_id=ChIJZborprHBYpYRsIURvxVqsA4
Centro de Distribución Laboratorio Interpharma S.A.,Pudahuel,Laboratorio farmacéutico,"Av. Del Canal 19391, Pudahuel, Región Metropolitana, Chile",+56 2 3245 5670,,3.4,5,-33.4465731,-70.8426569,https://www.google.com/maps/search/?api=1&query=Centro%20de%20Distribuci%C3%B3n%20Laboratorio%20Interpharma%20S.A.&query_place_id=ChIJK-apm5HpYpYRfUupiRjxG4c
OPKO CHILE S.A,Pudahuel,Compañía farmacéutica,"Pudahuel, Región Metropolitana, Chile",,,,,-33.4307701,-70.7975795,https://www.google.com/maps/search/?api=1&query=OPKO%20CHILE%20S.A&query_place_id=ChIJabeRAgDDYpYR6hVcpg3Tpfw
Proquimsa S.A,Pudahuel,Industria de cosméticos,"Av. Volcan Lascar Oriente 789 Lo Boza, Volcán Lascar Ote. 789, 9030924 Pudahuel, Región Metropolitana, Chile",+56 2 2449 1818,http://www.proquimsa.cl/,3.8,8,-33.3834889,-70.7730184,https://www.google.com/maps/search/?api=1&query=Proquimsa%20S.A&query_place_id=ChIJR4kHtFTDYpYR5GL9DfIxzO4
