negocio,contacto,puesto,telefono,correo,sitio_web,instagram,linkedin,ciudad,rating,resenas,senal_de_calificacion,fuente,fecha
"OxfordBikes S.A (Centro de Distribución)","sin dato","sin dato","+56 2 2631 9700","sin dato","http://www.oxfordstore.cl/","https://www.instagram.com/oxford.chile","sin dato","San Bernardo",4.4,17,"Empresa de distribucion de bicicletas con centro propio en San Bernardo, RM, rating y reseñas cumplen","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"COLUN CD SAN BERNARDO","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","San Bernardo",4.4,32,"Centro de distribucion de cooperativa lactea real (Colun) en San Bernardo, RM, rating y reseñas cumplen","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"ADRetail Centro de Distribución","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","Pudahuel",4.1,13,"Centro de distribucion de empresa retail en Pudahuel, RM, reseñas superan el minimo. Categoria de Google generica (Centro comercial) - verificar rubro exacto antes de contactar","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"Transportes Casablanca","sin dato","sin dato","+56 2 2611 0170","sin dato","http://www.tcasablanca.cl/","https://www.instagram.com/transportescasablanca","https://www.linkedin.com/company/transportescasablanca","San Bernardo",4,306,"Transporte de carga con categoria adicional de Servicio de logistica, San Bernardo RM, 306 reseñas","compass/crawler-google-places (Apify) - busqueda 'empresa de transporte de carga'","2026-07-28"
"Transportes Deivis - Carga, Logística, Distribución y Mudanzas","sin dato","sin dato","+56 9 8723 2684","transdeivis@gmail.com","https://www.facebook.com/Transportes-y-servicios-2342873965989087","sin dato","sin dato","La Florida",5,17,"Empresa de transporte de carga en La Florida, RM, rating y reseñas cumplen el minimo del perfil","compass/crawler-google-places (Apify) - busqueda 'empresa de transporte de carga'","2026-07-28"
"Tairenga Cargo","sin dato","sin dato","+56 2 2689 6920","tairengacargo@hotmail.com","http://tairenga.cl/","sin dato","sin dato","Santiago",4.6,121,"Empresa de transporte de carga en Santiago centro, RM, 121 reseñas confirman actividad real","compass/crawler-google-places (Apify) - busqueda 'empresa de transporte de carga'","2026-07-28"
"Transportes SAYMO","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","Calera de Tango",4.6,18,"Empresa de transporte de carga en Calera de Tango, RM, rating y reseñas cumplen el minimo del perfil","compass/crawler-google-places (Apify) - busqueda 'empresa de transporte de carga'","2026-07-28"
"Ingenieria De Transportes Javier Cortes S.A.","sin dato","sin dato","+56 2 2720 7900","transportes@javiercortes.com","http://www.javiercortes.com/","sin dato","sin dato","Quilicura",4.2,40,"Empresa de transporte de carga en Quilicura, RM, 40 reseñas confirman actividad real","compass/crawler-google-places (Apify) - busqueda 'empresa de transporte de carga'","2026-07-28"
"Carga Fácil Spa","sin dato","sin dato","+56 9 4854 9078","sin dato","sin dato","https://www.instagram.com/transporte.carga.facil","sin dato","Pudahuel",5,13,"Empresa de transporte de carga en corredor industrial Pudahuel, RM, reseñas superan el minimo","compass/crawler-google-places (Apify) - busqueda 'empresa de transporte de carga'","2026-07-28"
"Sky Cargo Nacional","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","Pudahuel",4.2,204,"Empresa de transporte de carga en Pudahuel, RM, 204 reseñas confirman actividad real","compass/crawler-google-places (Apify) - busqueda 'empresa de transporte de carga'","2026-07-28"
"JCG Transportes","sin dato","sin dato","+56 9 6142 2398","sin dato","sin dato","sin dato","sin dato","Maipú",4.6,44,"Empresa de transporte de carga en Maipu, RM, 44 reseñas confirman actividad real","compass/crawler-google-places (Apify) - busqueda 'empresa de transporte de carga'","2026-07-28"
"Transportes Vega Morelli","sin dato","sin dato","+56 2 2855 8409","sin dato","http://www.vegamorelli.cl/","sin dato","sin dato","Calera de Tango",4.1,43,"Empresa de transporte de carga en Calera de Tango, RM, 43 reseñas confirman actividad real","compass/crawler-google-places (Apify) - busqueda 'empresa de transporte de carga'","2026-07-28"
"Be on Time Spa","sin dato","sin dato","+56 9 7539 5223","info@beot.cl","http://www.beot.cl/","sin dato","sin dato","Maipú",4.4,75,"Empresa de transporte de carga en Maipu, RM, 75 reseñas confirman actividad real","compass/crawler-google-places (Apify) - busqueda 'empresa de transporte de carga'","2026-07-28"
"Freight Forwarder Chile - Segucargo","sin dato","sin dato","+56 2 2438 1919","ventas@segucargo.cl","https://segucargo.cl/","https://www.instagram.com/segucargo.cl","https://www.linkedin.com/company/segucargo","Providencia",4.9,40,"Freight forwarder con categoria Almacen incluida, RM, 40 reseñas. Direccion es oficina en Providencia, verificar ubicacion de la bodega real antes de contactar","compass/crawler-google-places (Apify) - busqueda 'empresa de transporte de carga'","2026-07-28"
"Importadora Industrial Molychile","sin dato","sin dato","+56 2 2739 0606","info@molychile.cl","http://www.molychile.cl/","https://www.instagram.com/molychile1983","sin dato","Quilicura",4.1,14,"Importador/distribuidor industrial con bodega en Quilicura, RM, reseñas superan el minimo","compass/crawler-google-places (Apify) - busqueda 'bodega industrial'","2026-07-28"
"Proasin Importadora y Comercializadora de Equipo de Aseo Industrial","sin dato","sin dato","+56 2 2223 2202","proasin@proasin.cl","http://www.proasin.cl/","https://www.instagram.com/proasinspa","https://www.linkedin.com/company/importadora-y-comercializadora-proasin","Macul",4,14,"Importador/distribuidor de productos de aseo industrial con bodega en Macul, RM, reseñas superan el minimo","compass/crawler-google-places (Apify) - busqueda 'bodega industrial'","2026-07-28"
"Echeverria Izquierdo Montajes Industriales","sin dato","sin dato","+56 2 2757 4800","sin dato","http://ei.cl/","https://www.instagram.com/echeverria.izquierdo","https://www.linkedin.com/company/echeverria-izquierdo-ing","San Bernardo",4.6,73,"Bodega industrial de empresa de montajes/construccion en San Bernardo, RM, 73 reseñas. Correos encontrados no coinciden con el dominio del sitio (posible error de scraping) - se descartan","compass/crawler-google-places (Apify) - busqueda 'bodega industrial'","2026-07-28"
"inex centro distribucion","sin dato","sin dato","sin dato","sin dato","http://inexchile.cl/","sin dato","sin dato","San Bernardo",4.7,15,"DUDOSO: reseñas y ubicacion RM cumplen, pero categoria de Google (Centro comercial) no confirma que sea centro de distribucion real - verificar rubro antes de contactar","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"Transportes Ayala","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","Melipilla",4.4,16,"DUDOSO: rubro y reseñas cumplen, pero Melipilla queda fuera del corredor industrial habitual de Santiago (~1 hora de distancia) - evaluar si conviene por logistica de servicio","compass/crawler-google-places (Apify) - busqueda 'empresa de transporte de carga'","2026-07-28"
"Boulevard Empresarial","sin dato","sin dato","+56 9 4251 5975","sin dato","sin dato","sin dato","sin dato","Renca",4.1,43,"DUDOSO: categoria Bodega y reseñas cumplen, pero el nombre sugiere parque de oficinas/bodegas en arriendo - verificar si es arrendador inmobiliario o empresa operativa antes de contactar","compass/crawler-google-places (Apify) - busqueda 'bodega industrial'","2026-07-28"
"AMM (Centro de Servicio de Distribución de la Iglesia)","sin dato","sin dato","+56 2 2340 5119","sin dato","https://store.churchofjesuschrist.org/","sin dato","sin dato","Providencia",4.6,240,"DUDOSO: tiene centro de distribucion real y reseñas altas, pero es una organizacion religiosa sin fines de lucro, no una empresa comercial - proceso de compra probablemente distinto","compass/crawler-google-places (Apify) - busqueda 'centro de distribución'","2026-07-28"
"LO VALLEDOR MERCADO MAYORISTA","sin dato","sin dato","+56 2 2410 9200","atencion@lovalledor.cl","https://www.mercadolovalledor.cl/","https://www.instagram.com/instalovalledor","https://www.linkedin.com/company/mercadomayoristalovalledor","Pedro Aguirre Cerda",4.3,19546,"Mercado mayorista de alimentos, rubro distribucion real, RM, 19546 reseñas confirman escala masiva de operacion","compass/crawler-google-places (Apify) - busqueda 'distribuidora de alimentos'","2026-07-28"
"Tilicura","sin dato","sin dato","+56 2 2774 4985","sin dato","http://www.tilicura.cl/","sin dato","sin dato","Quinta Normal",4.3,474,"Distribuidor mayorista de bebidas (categoria Google incluye Distribuidor de cerveza y Mayorista), RM, 474 reseñas","compass/crawler-google-places (Apify) - busqueda 'distribuidora de bebidas'","2026-07-28"
"Befoods Mayorista / Venta por Mayor","sin dato","sin dato","+56 9 7107 0800","contacto@befoods.cl","https://www.befoods.cl/","https://www.instagram.com/befoodschile","sin dato","Lo Prado",4.1,15,"Distribuidor mayorista de alimentos para mascotas, RM, reseñas superan el minimo","compass/crawler-google-places (Apify) - busqueda 'distribuidora de bebidas'","2026-07-28"
"Z & Z","sin dato","sin dato","+56 2 2457 1074","pedidoszyz@gmail.com","http://www.zyz.cl/","sin dato","sin dato","Quinta Normal",4.5,287,"Distribuidor de alimentos para mascotas con sitio propio y alto volumen de reseñas, RM","compass/crawler-google-places (Apify) - busqueda 'distribuidora de alimentos'","2026-07-28"
"Distribuidora Santiago","sin dato","sin dato","+56 9 7570 9867","ventas1@distribuidorasantiago.cl","http://www.distribuidorasantiago.cl/","https://www.instagram.com/distribuidorasantiago.cl","sin dato","Santiago",4,26,"Distribuidor de comestibles y productos de limpieza, categoria explicita 'Distribuidor de comestibles', RM","compass/crawler-google-places (Apify) - busqueda 'distribuidora de alimentos'","2026-07-28"
"Distribuidora de Alimentos Rumbo Al Sur","sin dato","sin dato","+56 9 5638 7685","ventas@rumboalsur.cl","https://alimentosrumboalsur.cl/","https://www.instagram.com/alimentosrumboalsur","sin dato","Santiago",5,129,"Distribuidor de alimentos con sitio propio, RM, 129 reseñas","compass/crawler-google-places (Apify) - busqueda 'distribuidora de alimentos'","2026-07-28"
"Comercial Eben Ezer Distribuidora Abarrotes","sin dato","sin dato","+56 2 2645 7772","hola@ebenezerabarrotes.cl","http://www.ebenezerabarrotes.cl/","https://www.instagram.com/comercialebenezer","sin dato","Cerro Navia",4.2,229,"Supermercado mayorista/distribuidor de abarrotes (categoria incluye Mayorista), RM, 229 reseñas","compass/crawler-google-places (Apify) - busqueda 'distribuidora de alimentos'","2026-07-28"
"Distribuidora de Alimentos Baggio En Barrio Italia","sin dato","sin dato","+56 9 8803 2573","sin dato","https://alimentosbaggio.cl/","https://www.instagram.com/alimentosbaggio","https://cl.linkedin.com/company/alimentosbaggio","Providencia",4.9,19,"Tienda de comestibles mayorista, RM, reseñas superan el minimo","compass/crawler-google-places (Apify) - busqueda 'distribuidora de alimentos'","2026-07-28"
"Dulconoroma","sin dato","sin dato","+56 2 3278 5800","sin dato","http://www.dulconoroma.cl/","https://www.instagram.com/dulconoroma.cl","sin dato","Pudahuel",4.3,108,"Fabricante de alimentos con bodega en corredor industrial Pudahuel, RM, 108 reseñas","compass/crawler-google-places (Apify) - busqueda 'distribuidora de alimentos'","2026-07-28"
"Empanadas Los Gansos","sin dato","sin dato","+56 2 2776 0094","sin dato","http://www.losgansos.cl/","sin dato","sin dato","Estación Central",4.4,525,"Fabrica de alimentos a gran escala con distribucion propia, RM, 525 reseñas","compass/crawler-google-places (Apify) - busqueda 'distribuidora de bebidas'","2026-07-28"
"Distribuidora Huevos Y Quesos Putaendo","sin dato","sin dato","+56 9 9036 2565","sin dato","sin dato","sin dato","sin dato","Quinta Normal",4.3,172,"Distribuidor mayorista de huevos y quesos (Supermercado/Quesería/Granja avicola), RM, 172 reseñas","compass/crawler-google-places (Apify) - busqueda 'distribuidora de alimentos'","2026-07-28"
"Distribuidora Articulos Aseo Armepro spa QUINTA NORMAL","sin dato","sin dato","+56 9 4223 5305","sin dato","sin dato","sin dato","sin dato","Quinta Normal",4.4,138,"Distribuidor de articulos de aseo, RM, 138 reseñas","compass/crawler-google-places (Apify) - busqueda 'distribuidora de alimentos'","2026-07-28"
"Aguas Kronos","sin dato","sin dato","+56 9 5800 3771","sin dato","https://aguaskronos.cl/","sin dato","sin dato","Estación Central",4.9,34,"Distribuidor de agua embotellada, rubro de alto volumen paletizado, RM","compass/crawler-google-places (Apify) - busqueda 'distribuidora de bebidas'","2026-07-28"
"Soc Comercial E Industrial Aqua Chile Eden SPA","sin dato","sin dato","+56 2 2748 5758","contacto@aquachileeden.cl","http://www.aquachileeden.cl/","https://www.instagram.com/aqua.chile.eden","https://www.linkedin.com/company/aqua-chile-eden","Pudahuel",4.3,18,"Proveedor/distribuidor de agua embotellada en corredor industrial Pudahuel, RM","compass/crawler-google-places (Apify) - busqueda 'distribuidora de bebidas'","2026-07-28"
"Molinera Pamol Limitada","sin dato","sin dato","+56 2 2764 2222","sin dato","sin dato","sin dato","sin dato","Estación Central",4.2,123,"Molino harinero con distribucion propia, uso intensivo de pallets para materia prima y producto, RM","compass/crawler-google-places (Apify) - busqueda 'distribuidora de bebidas'","2026-07-28"
"Distribuidora Nico","sin dato","sin dato","+56 2 2667 0100","sin dato","http://www.distribuidoranico.cl/","sin dato","sin dato","Pudahuel",4.5,111,"Distribuidor mayorista de confiteria en corredor industrial Pudahuel, RM, 111 reseñas","compass/crawler-google-places (Apify) - busqueda 'distribuidora de alimentos'","2026-07-28"
"Soc Zunino Hermanos Limitada","sin dato","sin dato","+56 2 2773 1617","sin dato","sin dato","sin dato","sin dato","Lo Prado",4.2,16,"Distribuidor de alimentos para mascotas, RM, reseñas superan el minimo. El correo encontrado pertenece a un directorio de negocios (portalesdenegocios.com), no a la empresa - se descarta","compass/crawler-google-places (Apify) - busqueda 'distribuidora de alimentos'","2026-07-28"
"Supermercado Mayorista Productos Congelados Santiago","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","Santiago",4.7,52,"Supermercado mayorista de productos congelados, RM, 52 reseñas","compass/crawler-google-places (Apify) - busqueda 'distribuidora de alimentos'","2026-07-28"
"La Pinina","sin dato","sin dato","+56 9 9883 9213","sin dato","sin dato","sin dato","sin dato","Lo Prado",4.4,79,"Categoria Google explicita Mayorista, RM, 79 reseñas","compass/crawler-google-places (Apify) - busqueda 'distribuidora de bebidas'","2026-07-28"
"CyC Cargo Santiago","sin dato","sin dato","+56 9 8775 7720","sin dato","https://www.cyccargo.cl/","sin dato","sin dato","Quinta Normal",4.3,29,"Empresa de transporte de carga con sitio propio, RM, 29 reseñas","compass/crawler-google-places (Apify) - busqueda 'empresa de logística'","2026-07-28"
"Santa María Cargo Spa","sin dato","sin dato","+56 2 2403 2136","sin dato","sin dato","sin dato","sin dato","Quinta Normal",4.2,60,"Empresa de transporte de carga, RM, 60 reseñas","compass/crawler-google-places (Apify) - busqueda 'empresa de logística'","2026-07-28"
"THL Logística y Transporte SPA","sin dato","sin dato","+56 9 5317 3333","sin dato","sin dato","sin dato","sin dato","Providencia",5,11,"Servicio de logistica, RM, reseñas superan el minimo","compass/crawler-google-places (Apify) - busqueda 'empresa de logística'","2026-07-28"
"Logística MC2 SPA","sin dato","sin dato","+56 32 229 1156","sin dato","sin dato","sin dato","sin dato","Quinta Normal",4,104,"Empresa de transporte de carga, RM, 104 reseñas","compass/crawler-google-places (Apify) - busqueda 'empresa de logística'","2026-07-28"
"Zeke Hobby's - Centro de envíos - Lo Prado","sin dato","sin dato","+56 9 3599 7556","sin dato","https://zekehobbys.cl/","sin dato","sin dato","Lo Prado",5,461,"Centro de envios/logistica con altisimo volumen de reseñas, RM","compass/crawler-google-places (Apify) - busqueda 'empresa de logística'","2026-07-28"
"JCargo transporte y logística","sin dato","sin dato","+56 9 7801 0348","sin dato","https://www.jcargo.cl/","https://www.instagram.com/jcargo.cl","https://www.linkedin.com/company/jcargo-logistica-transporte","Santiago",4.5,40,"Empresa de transporte y logistica con sitio propio, RM, 40 reseñas","compass/crawler-google-places (Apify) - busqueda 'empresa de logística'","2026-07-28"
"Transportes Marexpress","sin dato","sin dato","+56 9 3532 2898","sin dato","http://www.transportesmarexpress.cl/","sin dato","sin dato","Cerro Navia",4.4,19,"Empresa de transporte de carga con sitio propio, RM, 19 reseñas","compass/crawler-google-places (Apify) - busqueda 'empresa de logística'","2026-07-28"
"Agurto Logística y Distribución","sin dato","sin dato","+56 2 2544 8620","sin dato","http://www.agurto.cl/","sin dato","sin dato","Pudahuel",4.3,104,"Servicio de distribucion en corredor industrial Pudahuel, RM, 104 reseñas. Los correos encontrados parecen invalidos/plantilla (usuario@dominio.com, dominio truncado) - se descartan","compass/crawler-google-places (Apify) - busqueda 'empresa de logística'","2026-07-28"
"Bodega Sur","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","Pudahuel",4.4,33,"Categoria Google explicita Bodega, corredor industrial Pudahuel, RM, 33 reseñas","compass/crawler-google-places (Apify) - busqueda 'bodega' en Pudahuel","2026-07-28"
"Bodegas Ergo","sin dato","sin dato","+56 9 3428 4226","bodegas@ergo.cl","http://www.ergo.cl/","sin dato","sin dato","Pudahuel",4.1,14,"Categoria Google explicita Bodega con sitio propio, Pudahuel, RM","compass/crawler-google-places (Apify) - busqueda 'bodega' en Pudahuel","2026-07-28"
"Bodega Tuporcelanato.cl Venta y Distribución","sin dato","sin dato","+56 9 4658 0217","sin dato","https://tuporcelanato.cl/","https://www.instagram.com/tuporcelanato.cl","sin dato","Pudahuel",5,116,"Bodega y venta de porcelanato con distribucion propia, Pudahuel, RM, 116 reseñas","compass/crawler-google-places (Apify) - busqueda 'bodega' en Pudahuel","2026-07-28"
"BOMIGROUP CHILE","sin dato","sin dato","+56 2 2307 8994","sin dato","http://bomigroup.com/","sin dato","sin dato","Pudahuel",4.4,58,"Servicio de logistica con sitio propio, Pudahuel, RM, 58 reseñas","compass/crawler-google-places (Apify) - busqueda 'bodega' en Pudahuel","2026-07-28"
"DLI Farmacias Ahumada","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","Pudahuel",4.2,110,"Bodega de cadena de farmacias (Farmacias Ahumada), categoria Google explicita Bodega, Pudahuel, RM, 110 reseñas","compass/crawler-google-places (Apify) - busqueda 'bodega' en Pudahuel","2026-07-28"
"World Courier de Chile","sin dato","sin dato","+56 2 2210 6000","sin dato","https://www.worldcourier.com/locations","sin dato","https://www.linkedin.com/company/world-courier","Pudahuel",4.3,14,"Empresa global de logistica farmaceutica con bodega en Pudahuel, RM, reseñas superan el minimo","compass/crawler-google-places (Apify) - busqueda 'bodega' en Pudahuel","2026-07-28"
"BODEGAS INTEGRALES PREMIER","sin dato","sin dato","+56 2 2656 3000","integrales@bodegaspremier.cl","http://www.bodegaspremier.cl/","sin dato","sin dato","Pudahuel",4.1,94,"Categoria Google explicita Bodega con sitio propio, Pudahuel, RM, 94 reseñas","compass/crawler-google-places (Apify) - busqueda 'bodega' en Pudahuel","2026-07-28"
"Vicsa bodega","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","sin dato","Pudahuel",4.3,75,"DUDOSO: reseñas cumplen y esta en corredor industrial Pudahuel, pero categoria de Google es generica (Oficinas de empresa) y no hay sitio web para confirmar el rubro exacto","compass/crawler-google-places (Apify) - busqueda 'bodega' en Pudahuel","2026-07-28"
"Bodegas Cimenta - Lo Boza","sin dato","sin dato","+56 2 2947 0600","sin dato","http://www.bodegascimenta.cl/","https://www.instagram.com/cimentachile","https://www.linkedin.com/company/cimenta-s-a","Pudahuel",4.1,10,"DUDOSO: reseñas justo en el limite minimo (10) y los correos encontrados no corresponden a un area operativa clara (accionistas/capital humano) - verificar rubro exacto antes de contactar","compass/crawler-google-places (Apify) - busqueda 'bodega' en Pudahuel","2026-07-28"
